1 0 FT924-655 1  22.968359 STANDARD
27 0 FT922-2868 1  19.496084 STANDARD
27 0 FT941-15870 1  19.490398 STANDARD
27 0 FT924-4719 1  19.472698 STANDARD
27 0 FT942-1883 1  19.468369 STANDARD
27 0 FT941-9473 1  19.466835 STANDARD
27 0 FT931-6434 1  19.45559 STANDARD
27 0 FT942-17447 1  19.45482 STANDARD
27 0 FT931-12789 1  19.449987 STANDARD
27 0 FT922-13041 1  19.440493 STANDARD
27 0 FT944-11654 1  19.416685 STANDARD
27 0 FT942-13595 1  19.415607 STANDARD
27 0 FT921-3205 1  19.412748 STANDARD
27 0 FT932-4500 1  19.402952 STANDARD
27 0 FT943-4912 1  19.402782 STANDARD
27 0 FT924-9363 1  19.382374 STANDARD
27 0 FT942-5316 1  19.362896 STANDARD
27 0 FT932-13020 1  19.350788 STANDARD
27 0 FT921-16394 1  19.338861 STANDARD
27 0 FT941-10332 1  19.327372 STANDARD
27 0 FT924-2793 1  19.327253 STANDARD
27 0 FT934-3602 1  19.324703 STANDARD
27 0 FT922-13256 1  19.318121 STANDARD
27 0 FT932-1148 1  19.29215 STANDARD
27 0 FT944-9443 1  19.291702 STANDARD
27 0 FT923-6980 1  19.28258 STANDARD
27 0 FT931-10998 1  19.26644 STANDARD
27 0 FT921-14230 1  19.265556 STANDARD
27 0 FT941-4509 1  19.262524 STANDARD
27 0 FT923-2992 1  19.251596 STANDARD
27 0 FT933-10912 1  19.250057 STANDARD
27 0 FT931-887 1  19.2328 STANDARD
27 0 FT941-7148 1  19.232227 STANDARD
27 0 FT943-12447 1  19.197273 STANDARD
27 0 FT942-2140 1  19.196918 STANDARD
27 0 FT934-12469 1  19.194054 STANDARD
27 0 FT941-10773 1  19.189018 STANDARD
27 0 FT941-576 1  19.183857 STANDARD
27 0 FT931-205 1  19.142576 STANDARD
27 0 FT924-2509 1  19.136724 STANDARD
27 0 FT943-4801 1  19.132708 STANDARD
27 0 FT921-14879 1  19.130678 STANDARD
27 0 FT922-11380 1  19.12729 STANDARD
27 0 FT941-838 1  19.099514 STANDARD
27 0 FT933-6355 1  19.0961 STANDARD
27 0 FT923-4279 1  19.0918 STANDARD
27 0 FT923-2473 1  19.084303 STANDARD
27 0 FT941-9445 1  19.077206 STANDARD
27 0 FT931-12189 1  19.07621 STANDARD
27 0 FT944-16960 1  19.064142 STANDARD
27 0 FT941-14455 1  19.06366 STANDARD
27 0 FT942-7832 1  19.05684 STANDARD
27 0 FT941-4929 1  19.054625 STANDARD
27 0 FT942-11077 1  19.051718 STANDARD
27 0 FT943-10695 1  19.033176 STANDARD
27 0 FT923-502 1  19.029661 STANDARD
27 0 FT922-10672 1  19.028986 STANDARD
27 0 FT932-9004 1  19.024132 STANDARD
27 0 FT932-7277 1  19.021194 STANDARD
27 0 FT944-11346 1  19.011118 STANDARD
27 0 FT944-5903 1  18.996593 STANDARD
27 0 FT932-12332 1  18.95439 STANDARD
27 0 FT921-6897 1  18.949892 STANDARD
27 0 FT934-38 1  18.94836 STANDARD
27 0 FT933-14502 1  18.937698 STANDARD
27 0 FT944-3521 1  18.9353 STANDARD
27 0 FT933-9147 1  18.928173 STANDARD
27 0 FT932-14013 1  18.925379 STANDARD
27 0 FT942-11886 1  18.921225 STANDARD
27 0 FT942-10724 1  18.908697 STANDARD
27 0 FT934-8087 1  18.906174 STANDARD
27 0 FT932-13137 1  18.896666 STANDARD
27 0 FT933-8660 1  18.894567 STANDARD
27 0 FT941-11009 1  18.894299 STANDARD
27 0 FT933-5232 1  18.89092 STANDARD
27 0 FT924-5907 1  18.887335 STANDARD
27 0 FT932-2183 1  18.872425 STANDARD
27 0 FT931-234 1  18.868273 STANDARD
27 0 FT944-14528 1  18.865795 STANDARD
27 0 FT944-17885 1  18.860533 STANDARD
27 0 FT921-6454 1  18.85475 STANDARD
27 0 FT942-17133 1  18.845106 STANDARD
27 0 FT921-5476 1  18.842995 STANDARD
27 0 FT931-13747 1  18.836346 STANDARD
27 0 FT943-6538 1  18.825716 STANDARD
27 0 FT941-8178 1  18.806955 STANDARD
27 0 FT932-12809 1  18.805204 STANDARD
27 0 FT923-6045 1  18.804144 STANDARD
27 0 FT944-13535 1  18.803337 STANDARD
27 0 FT933-7493 1  18.796362 STANDARD
27 0 FT941-16333 1  18.794865 STANDARD
27 0 FT944-13786 1  18.791014 STANDARD
27 0 FT934-4486 1  18.76945 STANDARD
27 0 FT922-3402 1  18.752153 STANDARD
27 0 FT933-978 1  18.744625 STANDARD
27 0 FT941-1937 1  18.742258 STANDARD
27 0 FT944-7521 1  18.740627 STANDARD
27 0 FT924-5777 1  18.723644 STANDARD
27 0 FT943-13340 1  18.722029 STANDARD
27 0 FT921-4202 1  18.717417 STANDARD
27 0 FT934-10915 1  18.712555 STANDARD
27 0 FT944-5658 1  18.699198 STANDARD
27 0 FT941-4413 1  18.695757 STANDARD
27 0 FT943-11057 1  18.691727 STANDARD
27 0 FT933-5874 1  18.658875 STANDARD
27 0 FT922-5239 1  18.654818 STANDARD
27 0 FT943-7327 1  18.653555 STANDARD
27 0 FT921-15506 1  18.653492 STANDARD
27 0 FT924-7824 1  18.649323 STANDARD
27 0 FT942-6974 1  18.648413 STANDARD
27 0 FT943-11002 1  18.637455 STANDARD
27 0 FT943-1592 1  18.633633 STANDARD
27 0 FT942-5517 1  18.631802 STANDARD
27 0 FT924-3348 1  18.629713 STANDARD
27 0 FT931-11096 1  18.613665 STANDARD
27 0 FT932-11628 1  18.591425 STANDARD
27 0 FT943-9153 1  18.589634 STANDARD
27 0 FT944-4711 1  18.585993 STANDARD
27 0 FT932-1902 1  18.580341 STANDARD
27 0 FT924-8471 1  18.576126 STANDARD
27 0 FT943-1564 1  18.574657 STANDARD
27 0 FT932-10801 1  18.570868 STANDARD
27 0 FT942-6614 1  18.562298 STANDARD
27 0 FT933-2360 1  18.556015 STANDARD
27 0 FT943-1225 1  18.545193 STANDARD
27 0 FT942-8865 1  18.54459 STANDARD
27 0 FT932-10043 1  18.544098 STANDARD
27 0 FT922-5107 1  18.53143 STANDARD
27 0 FT921-7198 1  18.529163 STANDARD
27 0 FT932-12827 1  18.521645 STANDARD
27 0 FT931-11354 1  18.513077 STANDARD
27 0 FT944-12507 1  18.511984 STANDARD
27 0 FT932-7643 1  18.507626 STANDARD
27 0 FT924-13052 1  18.505753 STANDARD
27 0 FT934-14496 1  18.503271 STANDARD
27 0 FT932-3542 1  18.483593 STANDARD
27 0 FT931-5590 1  18.48185 STANDARD
27 0 FT941-1432 1  18.480078 STANDARD
27 0 FT911-5267 1  18.470226 STANDARD
27 0 FT931-10270 1  18.466467 STANDARD
27 0 FT921-667 1  18.459558 STANDARD
27 0 FT933-6106 1  18.44909 STANDARD
27 0 FT923-563 1  18.441868 STANDARD
27 0 FT923-4285 1  18.438768 STANDARD
27 0 FT941-7533 1  18.437155 STANDARD
27 0 FT943-37 1  18.428324 STANDARD
27 0 FT924-2260 1  18.427475 STANDARD
27 0 FT944-1816 1  18.426697 STANDARD
27 0 FT944-2022 1  18.426697 STANDARD
27 0 FT932-12813 1  18.40946 STANDARD
27 0 FT924-5525 1  18.403778 STANDARD
27 0 FT923-2516 1  18.390491 STANDARD
27 0 FT942-6361 1  18.376396 STANDARD
27 0 FT944-13780 1  18.37622 STANDARD
27 0 FT931-13750 1  18.371103 STANDARD
27 0 FT921-11576 1  18.366053 STANDARD
27 0 FT922-12574 1  18.363625 STANDARD
27 0 FT944-12874 1  18.360939 STANDARD
27 0 FT943-13888 1  18.351728 STANDARD
27 0 FT933-4652 1  18.346502 STANDARD
27 0 FT923-297 1  18.343601 STANDARD
27 0 FT922-11721 1  18.340893 STANDARD
27 0 FT931-2837 1  18.33906 STANDARD
27 0 FT932-859 1  18.337269 STANDARD
27 0 FT941-10887 1  18.328197 STANDARD
27 0 FT944-1534 1  18.319595 STANDARD
27 0 FT923-7318 1  18.313883 STANDARD
27 0 FT924-12742 1  18.313774 STANDARD
27 0 FT943-5085 1  18.309355 STANDARD
27 0 FT934-1163 1  18.305763 STANDARD
27 0 FT922-11820 1  18.30519 STANDARD
27 0 FT911-3917 1  18.30425 STANDARD
27 0 FT944-9869 1  18.298468 STANDARD
27 0 FT931-5856 1  18.279024 STANDARD
27 0 FT943-11043 1  18.271809 STANDARD
27 0 FT932-15366 1  18.26484 STANDARD
27 0 FT922-12130 1  18.264772 STANDARD
27 0 FT942-4803 1  18.26435 STANDARD
27 0 FT931-3325 1  18.25878 STANDARD
27 0 FT921-4501 1  18.251669 STANDARD
27 0 FT931-14677 1  18.251663 STANDARD
27 0 FT933-3524 1  18.25035 STANDARD
27 0 FT933-1160 1  18.249523 STANDARD
27 0 FT944-7435 1  18.24927 STANDARD
27 0 FT942-12010 1  18.247612 STANDARD
27 0 FT922-3112 1  18.243942 STANDARD
27 0 FT943-7812 1  18.232965 STANDARD
27 0 FT941-8374 1  18.223751 STANDARD
27 0 FT932-13008 1  18.218506 STANDARD
27 0 FT934-5598 1  18.215616 STANDARD
27 0 FT942-14418 1  18.205399 STANDARD
27 0 FT944-8445 1  18.199457 STANDARD
27 0 FT924-6339 1  18.196753 STANDARD
27 0 FT923-11761 1  18.194132 STANDARD
27 0 FT933-4641 1  18.194008 STANDARD
27 0 FT924-8414 1  18.19049 STANDARD
27 0 FT931-1597 1  18.190243 STANDARD
27 0 FT924-15825 1  18.187864 STANDARD
27 0 FT933-7814 1  18.184149 STANDARD
27 0 FT943-6549 1  18.182985 STANDARD
27 0 FT911-4970 1  18.18217 STANDARD
27 0 FT921-9264 1  18.17946 STANDARD
27 0 FT944-7918 1  18.173748 STANDARD
27 0 FT944-15659 1  18.152674 STANDARD
27 0 FT924-8151 1  18.15039 STANDARD
27 0 FT942-1355 1  18.149473 STANDARD
27 0 FT942-16010 1  18.146088 STANDARD
27 0 FT924-666 1  18.145523 STANDARD
27 0 FT933-14000 1  18.13215 STANDARD
27 0 FT944-2962 1  18.130476 STANDARD
27 0 FT922-13444 1  18.129581 STANDARD
27 0 FT942-5756 1  18.125557 STANDARD
27 0 FT921-11041 1  18.116184 STANDARD
27 0 FT932-12806 1  18.106817 STANDARD
27 0 FT942-4755 1  18.106592 STANDARD
27 0 FT932-13014 1  18.10477 STANDARD
27 0 FT924-12685 1  18.079145 STANDARD
27 0 FT921-6208 1  18.063732 STANDARD
27 0 FT934-7040 1  18.060387 STANDARD
27 0 FT944-10901 1  18.059746 STANDARD
27 0 FT933-4910 1  18.057014 STANDARD
27 0 FT944-16873 1  18.056185 STANDARD
27 0 FT911-4509 1  18.048262 STANDARD
27 0 FT944-11090 1  18.047533 STANDARD
27 0 FT933-8692 1  18.034725 STANDARD
27 0 FT944-5429 1  18.032898 STANDARD
27 0 FT934-10679 1  18.029804 STANDARD
27 0 FT944-9785 1  18.027987 STANDARD
27 0 FT933-1158 1  18.026808 STANDARD
27 0 FT924-10131 1  18.023094 STANDARD
27 0 FT924-5994 1  18.019384 STANDARD
27 0 FT934-9662 1  18.006557 STANDARD
27 0 FT924-10991 1  18.00321 STANDARD
27 0 FT942-14544 1  17.990503 STANDARD
27 0 FT933-12217 1  17.988367 STANDARD
27 0 FT942-106 1  17.987314 STANDARD
27 0 FT944-10254 1  17.975367 STANDARD
27 0 FT921-6109 1  17.964098 STANDARD
27 0 FT941-746 1  17.942335 STANDARD
27 0 FT924-14004 1  17.941103 STANDARD
27 0 FT931-5840 1  17.925774 STANDARD
27 0 FT924-7543 1  17.913675 STANDARD
27 0 FT921-7692 1  17.913656 STANDARD
27 0 FT931-4949 1  17.910915 STANDARD
27 0 FT922-10688 1  17.904375 STANDARD
27 0 FT941-3311 1  17.903137 STANDARD
27 0 FT921-12054 1  17.899414 STANDARD
27 0 FT924-5756 1  17.895508 STANDARD
27 0 FT944-13394 1  17.893282 STANDARD
27 0 FT934-15527 1  17.892624 STANDARD
27 0 FT921-13628 1  17.886929 STANDARD
27 0 FT943-2337 1  17.881363 STANDARD
27 0 FT933-9644 1  17.881302 STANDARD
27 0 FT933-2414 1  17.877111 STANDARD
27 0 FT921-13383 1  17.876968 STANDARD
27 0 FT942-12745 1  17.871302 STANDARD
27 0 FT943-15422 1  17.865099 STANDARD
27 0 FT923-7334 1  17.85065 STANDARD
27 0 FT911-1147 1  17.850437 STANDARD
27 0 FT942-6599 1  17.850307 STANDARD
27 0 FT923-14999 1  17.849895 STANDARD
27 0 FT943-15933 1  17.840113 STANDARD
27 0 FT933-8786 1  17.830524 STANDARD
27 0 FT931-6634 1  17.827702 STANDARD
27 0 FT941-7784 1  17.82262 STANDARD
27 0 FT911-3118 1  17.822388 STANDARD
27 0 FT932-4061 1  17.821783 STANDARD
27 0 FT941-14225 1  17.821363 STANDARD
27 0 FT922-11703 1  17.814388 STANDARD
27 0 FT921-14381 1  17.811554 STANDARD
27 0 FT922-5711 1  17.79958 STANDARD
27 0 FT924-6027 1  17.799107 STANDARD
27 0 FT943-8502 1  17.798668 STANDARD
27 0 FT931-6629 1  17.797607 STANDARD
27 0 FT944-15293 1  17.79228 STANDARD
27 0 FT911-110 1  17.79192 STANDARD
27 0 FT932-11482 1  17.790888 STANDARD
27 0 FT944-1693 1  17.786123 STANDARD
27 0 FT944-5286 1  17.78517 STANDARD
27 0 FT944-12286 1  17.783552 STANDARD
27 0 FT932-6405 1  17.781641 STANDARD
27 0 FT933-13850 1  17.770767 STANDARD
27 0 FT924-1036 1  17.76398 STANDARD
27 0 FT932-16478 1  17.759521 STANDARD
27 0 FT934-1164 1  17.74925 STANDARD
27 0 FT921-7970 1  17.743269 STANDARD
27 0 FT923-5144 1  17.743183 STANDARD
27 0 FT944-12946 1  17.739285 STANDARD
27 0 FT922-7403 1  17.73171 STANDARD
27 0 FT933-12607 1  17.72829 STANDARD
27 0 FT922-7097 1  17.725601 STANDARD
27 0 FT943-11735 1  17.716888 STANDARD
27 0 FT911-2063 1  17.715723 STANDARD
27 0 FT941-4880 1  17.711926 STANDARD
27 0 FT944-6602 1  17.708437 STANDARD
27 0 FT921-7572 1  17.704184 STANDARD
27 0 FT932-11952 1  17.696003 STANDARD
27 0 FT933-10490 1  17.694162 STANDARD
27 0 FT922-3881 1  17.693682 STANDARD
27 0 FT921-3348 1  17.692245 STANDARD
27 0 FT921-14665 1  17.689316 STANDARD
27 0 FT924-3006 1  17.685783 STANDARD
27 0 FT943-8798 1  17.680567 STANDARD
27 0 FT941-8047 1  17.679094 STANDARD
27 0 FT942-5906 1  17.673931 STANDARD
27 0 FT924-11251 1  17.66338 STANDARD
27 0 FT921-7829 1  17.660011 STANDARD
27 0 FT943-8254 1  17.647295 STANDARD
27 0 FT922-12102 1  17.640713 STANDARD
27 0 FT924-6723 1  17.635908 STANDARD
27 0 FT931-2806 1  17.632217 STANDARD
27 0 FT924-3710 1  17.629364 STANDARD
27 0 FT944-7060 1  17.624205 STANDARD
27 0 FT921-402 1  17.615995 STANDARD
27 0 FT932-2105 1  17.615904 STANDARD
27 0 FT934-15179 1  17.61213 STANDARD
27 0 FT942-2660 1  17.598848 STANDARD
27 0 FT922-5126 1  17.595978 STANDARD
27 0 FT931-16401 1  17.592173 STANDARD
27 0 FT921-15574 1  17.58334 STANDARD
27 0 FT934-9922 1  17.581373 STANDARD
27 0 FT931-16577 1  17.575512 STANDARD
27 0 FT933-10253 1  17.567453 STANDARD
27 0 FT943-7209 1  17.56273 STANDARD
27 0 FT924-8145 1  17.556736 STANDARD
27 0 FT941-6325 1  17.552692 STANDARD
27 0 FT944-7562 1  17.552197 STANDARD
27 0 FT941-16352 1  17.54999 STANDARD
27 0 FT921-15721 1  17.548407 STANDARD
27 0 FT933-13553 1  17.54642 STANDARD
27 0 FT943-14862 1  17.543032 STANDARD
27 0 FT922-14875 1  17.532724 STANDARD
27 0 FT924-4507 1  17.528004 STANDARD
27 0 FT944-1252 1  17.525757 STANDARD
27 0 FT923-7489 1  17.514038 STANDARD
27 0 FT911-1094 1  17.51121 STANDARD
27 0 FT944-18377 1  17.510946 STANDARD
27 0 FT942-17479 1  17.501377 STANDARD
27 0 FT941-15851 1  17.499542 STANDARD
27 0 FT931-7726 1  17.498997 STANDARD
27 0 FT942-598 1  17.497488 STANDARD
27 0 FT943-1637 1  17.495983 STANDARD
27 0 FT931-13033 1  17.494986 STANDARD
27 0 FT933-11272 1  17.485268 STANDARD
27 0 FT933-12129 1  17.483927 STANDARD
27 0 FT923-4394 1  17.482164 STANDARD
27 0 FT933-1854 1  17.479727 STANDARD
27 0 FT924-14998 1  17.473326 STANDARD
27 0 FT933-9441 1  17.46834 STANDARD
27 0 FT924-7440 1  17.466139 STANDARD
27 0 FT933-14801 1  17.463827 STANDARD
27 0 FT941-17152 1  17.460608 STANDARD
27 0 FT922-12131 1  17.45337 STANDARD
27 0 FT921-14463 1  17.453094 STANDARD
27 0 FT943-11473 1  17.449814 STANDARD
27 0 FT942-1958 1  17.448572 STANDARD
27 0 FT933-8944 1  17.442726 STANDARD
27 0 FT943-5950 1  17.433237 STANDARD
27 0 FT933-11122 1  17.432978 STANDARD
27 0 FT943-12203 1  17.428253 STANDARD
27 0 FT923-1596 1  17.425806 STANDARD
27 0 FT941-14552 1  17.424194 STANDARD
27 0 FT943-14911 1  17.416801 STANDARD
27 0 FT944-18879 1  17.410288 STANDARD
27 0 FT922-1403 1  17.40446 STANDARD
27 0 FT932-15488 1  17.404362 STANDARD
27 0 FT942-3703 1  17.401628 STANDARD
27 0 FT923-7090 1  17.401138 STANDARD
27 0 FT944-8017 1  17.39408 STANDARD
27 0 FT922-1458 1  17.391243 STANDARD
27 0 FT932-13009 1  17.380957 STANDARD
27 0 FT941-4103 1  17.3794 STANDARD
27 0 FT942-299 1  17.375969 STANDARD
27 0 FT943-5791 1  17.368736 STANDARD
27 0 FT941-9607 1  17.366829 STANDARD
27 0 FT943-9951 1  17.366701 STANDARD
27 0 FT921-8362 1  17.36612 STANDARD
27 0 FT933-2122 1  17.364363 STANDARD
27 0 FT922-9122 1  17.355947 STANDARD
27 0 FT941-1748 1  17.350523 STANDARD
27 0 FT941-17461 1  17.345087 STANDARD
27 0 FT943-8476 1  17.344109 STANDARD
27 0 FT941-10493 1  17.343271 STANDARD
27 0 FT944-630 1  17.342758 STANDARD
27 0 FT932-1318 1  17.337896 STANDARD
27 0 FT943-9546 1  17.332079 STANDARD
27 0 FT934-8867 1  17.329172 STANDARD
27 0 FT933-3057 1  17.321156 STANDARD
27 0 FT921-7860 1  17.320639 STANDARD
27 0 FT941-12568 1  17.320047 STANDARD
27 0 FT943-16745 1  17.319006 STANDARD
27 0 FT924-10405 1  17.316734 STANDARD
27 0 FT941-867 1  17.315973 STANDARD
27 0 FT942-16248 1  17.312647 STANDARD
27 0 FT922-1075 1  17.311014 STANDARD
27 0 FT924-7157 1  17.310276 STANDARD
27 0 FT932-11775 1  17.308249 STANDARD
27 0 FT932-12026 1  17.307713 STANDARD
27 0 FT932-14134 1  17.304277 STANDARD
27 0 FT924-832 1  17.302582 STANDARD
27 0 FT923-4027 1  17.301638 STANDARD
27 0 FT923-6916 1  17.298609 STANDARD
27 0 FT933-12618 1  17.296267 STANDARD
27 0 FT941-15652 1  17.296022 STANDARD
27 0 FT922-11567 1  17.293638 STANDARD
27 0 FT931-2435 1  17.292282 STANDARD
27 0 FT923-5637 1  17.288383 STANDARD
27 0 FT942-13136 1  17.283262 STANDARD
27 0 FT922-6207 1  17.273783 STANDARD
27 0 FT933-2100 1  17.270386 STANDARD
27 0 FT932-598 1  17.268213 STANDARD
27 0 FT942-13619 1  17.261501 STANDARD
27 0 FT932-12686 1  17.257751 STANDARD
27 0 FT932-14128 1  17.254765 STANDARD
27 0 FT931-5912 1  17.249939 STANDARD
27 0 FT931-5547 1  17.246815 STANDARD
27 0 FT921-11019 1  17.243752 STANDARD
27 0 FT921-952 1  17.240593 STANDARD
27 0 FT924-9766 1  17.2349 STANDARD
27 0 FT922-4192 1  17.226242 STANDARD
27 0 FT922-6397 1  17.223633 STANDARD
27 0 FT932-12754 1  17.223612 STANDARD
27 0 FT932-611 1  17.217133 STANDARD
27 0 FT922-8937 1  17.215305 STANDARD
27 0 FT921-9268 1  17.213633 STANDARD
27 0 FT934-5602 1  17.213396 STANDARD
27 0 FT932-11554 1  17.210226 STANDARD
27 0 FT921-12233 1  17.208223 STANDARD
27 0 FT942-5667 1  17.2034 STANDARD
27 0 FT933-5757 1  17.20019 STANDARD
27 0 FT923-10769 1  17.19764 STANDARD
27 0 FT921-2803 1  17.197262 STANDARD
27 0 FT921-2827 1  17.197262 STANDARD
27 0 FT941-247 1  17.195045 STANDARD
27 0 FT924-11298 1  17.18116 STANDARD
27 0 FT922-13038 1  17.171455 STANDARD
27 0 FT933-11216 1  17.152699 STANDARD
27 0 FT933-6455 1  17.15238 STANDARD
27 0 FT923-4951 1  17.149096 STANDARD
27 0 FT941-727 1  17.141485 STANDARD
27 0 FT944-13917 1  17.136333 STANDARD
27 0 FT933-9872 1  17.12783 STANDARD
27 0 FT943-13285 1  17.126183 STANDARD
27 0 FT943-8820 1  17.123234 STANDARD
27 0 FT924-8125 1  17.12066 STANDARD
27 0 FT924-11618 1  17.115904 STANDARD
27 0 FT943-8956 1  17.11538 STANDARD
27 0 FT941-14279 1  17.11511 STANDARD
27 0 FT934-614 1  17.104702 STANDARD
27 0 FT943-12274 1  17.097404 STANDARD
27 0 FT924-15205 1  17.095613 STANDARD
27 0 FT934-205 1  17.095573 STANDARD
27 0 FT922-715 1  17.092226 STANDARD
27 0 FT942-15731 1  17.090084 STANDARD
27 0 FT931-10952 1  17.088747 STANDARD
27 0 FT923-11205 1  17.081715 STANDARD
27 0 FT944-8277 1  17.075457 STANDARD
27 0 FT933-11551 1  17.073364 STANDARD
27 0 FT942-12968 1  17.07336 STANDARD
27 0 FT932-1760 1  17.06885 STANDARD
27 0 FT934-14488 1  17.067465 STANDARD
27 0 FT932-7637 1  17.065504 STANDARD
27 0 FT932-15750 1  17.054985 STANDARD
27 0 FT941-138 1  17.050348 STANDARD
27 0 FT931-9140 1  17.050058 STANDARD
27 0 FT921-16000 1  17.046478 STANDARD
27 0 FT942-14 1  17.046373 STANDARD
27 0 FT922-8 1  17.04421 STANDARD
27 0 FT934-196 1  17.033411 STANDARD
27 0 FT931-13273 1  17.03204 STANDARD
27 0 FT934-808 1  17.031958 STANDARD
27 0 FT924-15324 1  17.029701 STANDARD
27 0 FT932-8776 1  17.02501 STANDARD
27 0 FT934-7433 1  17.024681 STANDARD
27 0 FT923-1835 1  17.019709 STANDARD
27 0 FT933-13384 1  17.0195 STANDARD
27 0 FT941-3244 1  17.014755 STANDARD
27 0 FT931-2280 1  17.012302 STANDARD
27 0 FT932-9274 1  17.011747 STANDARD
27 0 FT921-5479 1  17.004898 STANDARD
27 0 FT933-7262 1  17.003815 STANDARD
27 0 FT931-16803 1  16.99301 STANDARD
27 0 FT931-7855 1  16.986118 STANDARD
27 0 FT934-9371 1  16.983385 STANDARD
27 0 FT923-13907 1  16.982933 STANDARD
27 0 FT944-2940 1  16.981823 STANDARD
27 0 FT934-5715 1  16.979307 STANDARD
27 0 FT933-14631 1  16.978643 STANDARD
27 0 FT932-2339 1  16.978252 STANDARD
27 0 FT931-823 1  16.976755 STANDARD
27 0 FT934-1127 1  16.976301 STANDARD
27 0 FT924-4499 1  16.969236 STANDARD
27 0 FT931-5513 1  16.960638 STANDARD
27 0 FT933-10872 1  16.958097 STANDARD
27 0 FT942-15019 1  16.95614 STANDARD
27 0 FT932-1276 1  16.952652 STANDARD
27 0 FT942-9556 1  16.95255 STANDARD
27 0 FT943-15965 1  16.94776 STANDARD
27 0 FT922-159 1  16.94403 STANDARD
27 0 FT944-7256 1  16.943474 STANDARD
27 0 FT931-12217 1  16.939522 STANDARD
27 0 FT941-8492 1  16.938713 STANDARD
27 0 FT941-8499 1  16.938713 STANDARD
27 0 FT924-5016 1  16.932198 STANDARD
27 0 FT932-14045 1  16.922678 STANDARD
27 0 FT943-1207 1  16.919624 STANDARD
27 0 FT932-12808 1  16.915678 STANDARD
27 0 FT944-17188 1  16.915266 STANDARD
27 0 FT931-3786 1  16.914436 STANDARD
27 0 FT933-16379 1  16.913963 STANDARD
27 0 FT924-13776 1  16.913095 STANDARD
27 0 FT924-868 1  16.909372 STANDARD
27 0 FT941-1663 1  16.909294 STANDARD
27 0 FT944-1988 1  16.908243 STANDARD
27 0 FT944-2199 1  16.908243 STANDARD
27 0 FT923-11297 1  16.905182 STANDARD
27 0 FT941-17708 1  16.904036 STANDARD
27 0 FT922-15267 1  16.900686 STANDARD
27 0 FT941-17397 1  16.900253 STANDARD
27 0 FT911-1922 1  16.899992 STANDARD
27 0 FT934-3059 1  16.894014 STANDARD
27 0 FT921-15760 1  16.891508 STANDARD
27 0 FT922-3649 1  16.883951 STANDARD
27 0 FT934-13536 1  16.878645 STANDARD
27 0 FT921-7858 1  16.872236 STANDARD
27 0 FT924-2459 1  16.871 STANDARD
27 0 FT924-6216 1  16.863161 STANDARD
27 0 FT932-12546 1  16.857332 STANDARD
27 0 FT922-12530 1  16.854784 STANDARD
27 0 FT942-12013 1  16.85452 STANDARD
27 0 FT932-16444 1  16.852306 STANDARD
27 0 FT934-2209 1  16.849522 STANDARD
27 0 FT942-7258 1  16.843775 STANDARD
27 0 FT924-14436 1  16.842682 STANDARD
27 0 FT941-10080 1  16.841572 STANDARD
27 0 FT922-5103 1  16.835201 STANDARD
27 0 FT922-13039 1  16.833624 STANDARD
27 0 FT921-2788 1  16.832418 STANDARD
27 0 FT944-14421 1  16.832138 STANDARD
27 0 FT934-14054 1  16.822252 STANDARD
27 0 FT924-734 1  16.812845 STANDARD
27 0 FT934-10948 1  16.811949 STANDARD
27 0 FT944-16460 1  16.803675 STANDARD
27 0 FT922-14322 1  16.792961 STANDARD
27 0 FT943-16265 1  16.789026 STANDARD
27 0 FT931-14411 1  16.776203 STANDARD
27 0 FT943-10851 1  16.775076 STANDARD
27 0 FT932-12574 1  16.774214 STANDARD
27 0 FT922-5105 1  16.767998 STANDARD
27 0 FT933-6719 1  16.766022 STANDARD
27 0 FT943-13231 1  16.763996 STANDARD
27 0 FT942-10959 1  16.761545 STANDARD
27 0 FT934-11542 1  16.757814 STANDARD
27 0 FT921-1314 1  16.7576 STANDARD
27 0 FT934-15550 1  16.753967 STANDARD
27 0 FT924-10343 1  16.747732 STANDARD
27 0 FT932-1792 1  16.747229 STANDARD
27 0 FT933-16120 1  16.741232 STANDARD
27 0 FT933-1818 1  16.735098 STANDARD
27 0 FT923-11790 1  16.735037 STANDARD
27 0 FT931-16150 1  16.7342 STANDARD
27 0 FT942-2251 1  16.732698 STANDARD
27 0 FT932-11545 1  16.72473 STANDARD
27 0 FT922-15509 1  16.72406 STANDARD
27 0 FT943-1014 1  16.714445 STANDARD
27 0 FT932-2201 1  16.713123 STANDARD
27 0 FT931-3450 1  16.713058 STANDARD
27 0 FT921-10137 1  16.709352 STANDARD
27 0 FT941-10842 1  16.696146 STANDARD
27 0 FT944-9176 1  16.692131 STANDARD
27 0 FT941-9610 1  16.692045 STANDARD
27 0 FT921-10999 1  16.674263 STANDARD
27 0 FT932-6851 1  16.672024 STANDARD
27 0 FT942-1652 1  16.671188 STANDARD
27 0 FT943-5934 1  16.668087 STANDARD
27 0 FT922-564 1  16.664963 STANDARD
27 0 FT934-9583 1  16.662153 STANDARD
27 0 FT942-16465 1  16.661112 STANDARD
27 0 FT933-14460 1  16.658302 STANDARD
27 0 FT933-3933 1  16.656693 STANDARD
27 0 FT941-15636 1  16.653336 STANDARD
27 0 FT924-12140 1  16.651424 STANDARD
27 0 FT924-12376 1  16.649906 STANDARD
27 0 FT944-9163 1  16.649788 STANDARD
27 0 FT943-11315 1  16.641586 STANDARD
